od pair,traffic volume,path,distance
16_25,,113-93-85-77-69-78-45-34,2961.86
16_25,,113-93-85-77-69-49-38-34,2974.34
16_26,98,113-130-89-81-73-65-74,2239.87
16_26,,113-93-106-81-73-65-74,2219.17
16_26,,113-93-85-98-73-65-74,2225.03
16_26,,113-93-85-77-86-65-74,2209.03
16_27,85,113-130-126,436.11
16_27,,113-93-106-87-126,1755.47
17_8,330,109-89-81-73-65-61-45-17,2556.57
17_8,,109-132-93-85-77-69-49-38-17,3410.45
17_10,42,109-89-81-73-65-61-45-40-44,2989.56
17_10,,109-89-81-73-65-61-80-49-44,2999
17_10,,109-89-81-73-88-69-49-44,3001.72
17_10,,109-89-81-100-77-69-49-44,2991.72
17_10,,109-89-108-85-77-69-49-44,2965.88
17_10,,109-132-93-85-77-69-49-44,2977.46
17_11,60,109-89-81-73-65-61-80-84,2523.83
17_11,,109-89-81-73-88-69-84,2526.55
17_11,,109-89-81-100-77-69-84,2516.55
17_11,,109-89-108-85-77-69-84,2490.71
17_11,,109-132-93-85-77-69-84,2502.29
17_12,63,109-89-81-73-88-92,2061.48
17_12,,109-89-81-100-77-92,2051.48
17_12,,109-89-108-85-77-92,2025.64
17_12,,109-132-93-85-77-92,2037.22
17_13,53,109-89-81-100-104,1586.16
17_13,,109-89-108-85-104,1560.32
17_13,,109-132-93-85-104,1571.9
17_14,43,109-89-108-112,1090
17_14,,109-132-93-112,1101.58
17_15,34,109-132-136,436.11
17_15,,109-89-108-91-136,1755.47
17_16,56,109-132-111,436.11
17_16,,109-89-108-91-111,1755.47
17_24,23,109-89-81-94,1150.34
17_24,,109-132-93-85-98-94,2007.72
17_25,101,109-89-81-73-65-61-45-34,2556.57
17_25,,109-132-93-85-77-69-49-38-34,3410.45
17_26,,109-89-81-73-65-74,1803.76
17_26,,109-132-93-85-77-86-65-74,2645.14
24_8,36,96-73-65-61-45-17,1406.23
24_8,,96-100-77-69-49-38-17,2274.37
24_10,46,96-73-65-61-45-40-44,1839.22
24_10,,96-73-65-61-80-49-44,1848.66
24_10,,96-73-88-69-49-44,1851.38
24_10,,96-100-77-69-49-44,1841.38
24_11,32,96-73-65-61-80-84,1373.49
24_11,,96-73-88-69-49-44,1851.38
24_11,,96-100-77-69-49-44,1841.38
24_12,13,96-73-88-92,911.14
24_12,,96-100-77-92,901.14
24_13,42,96-100-104,435.82
24_13,23,96-79-108-85-104,1396.44
24_13,,96-73-88-75-104,1376.46
24_14,36,96-100-83-112,906.14
24_14,,96-79-108-112,900.28
24_15,41,96-100-83-91-136,1571.61
24_15,,96-79-108-91-136,1565.75
24_15,,96-79-87-132-136,1586.45
24_16,12,96-100-83-91-111,1571.61
24_16,,96-79-108-91-111,1565.75
24_16,,96-79-87-132-111,1586.45
24_17,36,96-79-87-107,1150.34
24_17,,96-100-83-91-130-107,2007.72
24_25,46,96-73-65-61-45-34,1406.23
24_25,,96-100-77-69-49-38-34,2274.37
24_26,,96-73-65-74,653.42
24_26,,96-100-77-86-65-74,1509.06
24_27,,96-79-87-126,1150.34
24_27,,96-100-83-91-130-126,2007.72
25_10,36,36-40-44,432.99
25_10,,36-43-80-49-44,1370.85
25_11,53,36-40-47-84,908.16
25_11,,36-43-80-84,895.68
25_12,43,36-40-47-67-92,1373.23
25_12,,36-43-80-67-92,1360.75
25_12,,36-43-59-63-88-92,1360.73
25_13,34,36-40-47-67-75-104,1838.55
25_13,,36-43-80-67-75-104,1826.07
25_13,,36-43-59-63-88-75-104,1826.05
25_13,,36-43-59-63-71-100-104,1842.05
25_14,36,36-40-47-67-75-83-112,2308.87
25_14,,36-43-80-67-75-83-112,2296.39
25_14,,36-43-59-63-88-75-83-112,2296.37
25_14,,36-43-59-63-71-100-83-112,2312.37
25_14,,36-43-59-63-71-79-108-112,2306.51
25_15,35,36-40-47-67-75-83-91-136,2974.34
25_15,,36-43-80-67-75-83-91-136,2961.86
25_15,,36-43-59-63-88-75-83-91-136,2961.84
25_15,,36-43-59-63-71-100-83-91-136,2977.84
25_15,,36-43-59-63-71-79-108-91-136,2971.98
25_15,,36-43-59-63-71-79-87-132-136,2992.68
25_16,36,36-40-47-67-75-83-91-111,2974.34
25_16,,36-43-80-67-75-83-91-111,2961.86
25_16,,36-43-59-63-88-75-83-91-111,2961.84
25_16,,36-43-59-63-71-100-83-91-111,2977.84
25_16,,36-43-59-63-71-79-108-91-111,2971.98
25_16,,36-43-59-63-71-79-87-132-111,2992.68
25_17,131,36-43-59-63-71-79-87-107,2556.57
25_17,,36-40-47-67-75-83-91-130-107,3410.45
25_24,42,36-43-59-63-71-94,1406.23
25_24,,36-40-47-67-75-98-94,3681.27
25_26,123,36-43-59-74,752.81
25_26,,36-40-47-78-59-74,2081.02
25_27,,36-43-59-63-71-79-87-126,2556.57
25_27,,36-40-47-67-75-83-91-130-126,3410.45
26_8,133,76-61-45-17,752.81
26_8,,76-61-80-49-38-17,1628.23
26_10,68,76-61-45-40-44,1185.8
26_10,,76-61-80-49-44,1195.24
26_11,63,76-63-88-69-84,1072.99
26_11,,76-61-80-84,720.07
26_12,36,76-63-88-92,607.92
26_12,,76-61-80-67-92,1185.14
26_13,43,76-63-88-75-104,1073.24
26_13,,76-63-88-75-104,1073.24
26_14,36,76-63-88-75-83-112,1543.56
26_14,,76-63-71-100-83-112,1559.56
26_14,,76-63-71-79-108-112,1553.7
26_15,43,76-63-88-75-83-91-136,2209.03
26_15,,76-63-71-100-83-91-136,2225.03
26_15,,76-63-71-79-108-91-136,2219.17
26_15,,76-63-71-79-87-132-136,2239.87
26_16,36,76-63-88-75-83-91-111,2209.03
26_16,,76-63-71-100-83-91-111,2225.03
26_16,,76-63-71-79-108-91-111,2219.17
26_16,,76-63-71-79-87-132-111,2239.87
26_17,121,76-63-71-79-87-107,1803.76
26_17,,76-63-88-75-83-91-130-107,2645.14
26_24,23,76-63-71-94,653.42
26_24,,76-63-88-75-98-94,1509.06
26_25,112,76-61-45-34,752.81
26_25,,76-61-80-49-38-34,1628.23
26_27,89,76-63-71-79-87-126,1803.76
26_27,,76-63-88-75-83-91-130-126,2645.14
27_8,131,128-89-81-73-65-61-45-17,2556.57
27_8,,128-132-93-85-77-69-49-38-17,3410.45
27_10,23,128-89-81-73-65-61-45-40-44,2989.56
27_10,,128-89-81-73-65-61-80-49-44,2999
27_10,,128-89-81-73-88-69-49-44,3001.72
27_10,,128-89-81-100-77-69-49-44,2991.72
27_10,,128-89-108-85-77-69-49-44,2965.88
27_10,,128-132-93-85-77-69-49-44,2977.46
27_11,69,128-89-81-73-65-61-80-84,2523.83
27_11,,128-89-81-73-88-69-84,2526.55
27_11,,128-89-81-100-77-69-84,2516.55
27_11,,128-89-108-85-77-69-84,2490.71
27_11,,128-132-93-85-77-69-84,2502.29
27_12,52,128-89-81-73-88-92,2061.48
27_12,,128-89-81-100-77-92,2051.48
