19-47-78-59-63-88-75-98-94,2
19-38-43-80-67-86-71-94,2
19-47-67-75-83-106-81-94,2
19-38-34,21
19-47-78-45-34,16
19-47-67-86-65-61-45-34,12
19-38-43-80-67-86-65-61-45-34,9
19-38-43-59-63-88-69-78-45-34,9
19-47-67-86-65-61-80-49-38-34,9
19-47-78-59-63-88-69-49-38-34,9
19-47-67-75-98-73-65-61-45-34,9
19-38-43-59-63-88-75-98-73-65-61-45-34,7
19-38-43-59-63-71-100-77-86-65-61-45-34,7
19-38-43-59-74,14
19-47-78-59-74,14
19-47-67-86-65-74,13
19-38-43-80-67-86-65-74,10
19-47-67-75-98-73-65-74,10
19-38-43-59-63-88-75-98-73-65-74,7
19-38-43-59-63-71-100-77-86-65-74,7
19-38-43-80-67-75-98-73-65-74,7
19-47-78-59-63-71-100-77-86-65-74,7
19-47-78-59-63-88-75-98-73-65-74,7
19-47-67-75-83-106-87-126,13
19-47-67-75-83-91-130-126,13
19-38-43-59-63-71-79-87-126,13
19-47-67-75-98-79-87-126,13
19-47-78-59-63-71-79-87-126,12
19-47-67-86-71-79-87-126,12
19-38-34-39-76-63-71-79-87-126,11
19-38-43-59-63-88-75-83-106-87-126,10
19-38-43-80-67-75-83-106-87-126,10
19-47-78-59-63-88-75-83-106-87-126,10
42-38-17,21
42-47-78-45-17,16
42-47-67-86-65-61-45-17,12
42-38-34-39-76-61-45-17,11
42-38-43-59-74-41-36-17,11
42-47-78-59-74-41-36-17,11
42-38-43-59-74-70-37-32-36-17,11
42-47-78-59-74-70-37-32-36-17,11
42-38-34-39-70-37-32-36-17,10
42-47-67-86-65-74-41-36-17,10
42-47-84,6
42-38-43-80-84,4
42-38-43-59-63-88-69-84,3
42-47-78-59-63-88-69-84,3
42-47-67-86-65-61-80-84,3
42-38-34-39-76-61-80-84,3
42-38-34-39-76-63-88-69-84,3
42-38-34-30-26-35-68-72-76-61-80-84,2
42-38-43-59-63-71-100-77-69-84,2
42-47-78-59-63-71-100-77-69-84,2
42-47-67-92,5
42-38-43-59-63-88-92,4
42-38-43-80-67-92,4
42-47-78-59-63-88-92,4
42-38-34-39-76-63-88-92,3
42-38-43-59-63-71-100-77-92,3
42-47-78-59-63-71-100-77-92,3
42-47-67-86-71-100-77-92,3
42-47-67-75-98-73-88-92,3
42-38-34-30-26-35-68-72-76-63-88-92,3
42-47-67-75-104,3
42-38-43-59-63-88-75-104,2
42-38-43-80-67-75-104,2
42-47-78-59-63-88-75-104,2
42-38-43-59-63-71-100-104,2
42-47-78-59-63-71-100-104,2
42-47-67-86-71-100-104,2
42-38-34-39-76-63-88-75-104,2
42-38-34-39-76-63-71-100-104,2
42-38-43-80-67-86-71-100-104,2
42-47-67-75-83-112,7
42-38-43-59-63-88-75-83-112,5
