17102:0,0,3,3,4,4,3,3,7,4,1,3,3,4,3,3,9,4,0,2,0,3,2,4,5,6,3,2,0,3,4,4,1,5,2,3,5,6,5,4,1,4,4,0,2,2,6,2,2,0,4,7,2,1,3,2,0,4,0,2,5,3,3,0,0
17523:0,0,0,0,3,4,6,6,1,4,2,5,5,7,3,2,4,3,5,4,4,3,6,6,6,6,4,1,6,6,4,4,3,6,9,3,4,5,5,7,7,5,5,3,3,7,2,4,5,4,3,7,3,8,6,5,5,4,1,6,3,7,2,2,0
17989:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917069:0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,1,1,1,0,1,0,2,0,1,0,1,0,1,3,2,1,0,2,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0
917432:0,0,2,5,7,9,15,6,9,11,11,10,13,14,8,10,11,16,11,7,6,6,13,10,10,9,15,13,10,5,8,9,7,7,11,13,9,3,10,10,9,11,11,9,9,8,12,7,10,13,8,12,9,9,18,14,8,9,9,15,11,13,12,5,0
17622:0,0,1,2,4,5,6,1,3,2,8,5,4,3,5,1,4,5,4,5,4,5,4,5,3,4,4,4,3,4,4,3,6,9,6,1,2,5,11,3,1,2,10,5,3,3,2,4,7,5,3,1,2,6,5,5,4,2,3,4,5,3,4,1,0
917778:0,0,2,3,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,2,0,0,0,0,2,3,0,1,2,2,1,2,1,2,1,0,0,1,3,0,1,1,1,1,2,1,0,2,1,0,1,0,1,1,1,1,3,2,0,2,1,1,0,0,0
916927:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917592:0,0,0,1,0,2,0,0,1,1,0,0,1,2,0,2,3,2,2,1,0,0,3,1,1,1,1,1,1,3,0,1,1,0,3,1,1,2,1,1,0,4,0,1,3,2,2,2,4,0,1,2,0,0,2,4,0,2,1,1,1,2,0,1,3
917519:0,0,2,2,4,2,6,0,4,1,3,4,3,3,1,3,1,7,3,3,5,3,2,6,7,4,4,2,5,3,2,4,8,7,1,1,3,6,4,3,1,4,5,4,3,4,4,6,2,2,2,3,5,8,3,6,4,3,2,7,3,3,2,1,0
917085:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917086:0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
917601:0,0,1,2,2,7,1,3,2,4,3,3,2,1,1,3,4,6,3,3,4,5,2,4,3,2,2,4,2,3,3,3,3,1,3,2,2,3,4,5,1,4,2,1,2,1,2,0,1,2,0,0,2,1,2,3,5,4,6,2,0,5,3,1,0
17655:0,0,2,2,3,2,4,3,2,4,5,3,1,3,1,2,3,3,2,4,1,7,2,3,2,3,4,1,3,3,2,2,2,3,3,4,2,3,0,6,4,2,7,3,0,3,2,5,4,5,4,7,7,2,3,3,0,3,4,2,2,5,2,1,1
917604:0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,2,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,2,0,1,0,0,0,1,1,0,0,2,4,2,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,2,0
917605:0,0,0,0,0,2,1,0,0,0,3,3,2,1,1,0,2,0,3,1,0,2,0,1,0,1,1,2,1,2,1,1,3,1,1,0,1,0,0,0,2,0,0,0,4,5,0,3,1,2,0,0,1,2,2,1,1,0,1,0,1,2,1,2,0
917606:0,0,0,1,0,1,0,0,0,0,1,0,2,2,1,2,0,1,1,1,0,0,3,1,1,1,1,1,2,0,0,1,1,2,3,0,0,2,1,1,0,2,1,0,2,3,6,3,2,2,0,1,0,0,2,3,1,1,0,0,0,1,0,2,2
917607:0,0,0,1,1,1,0,0,0,1,0,2,1,1,1,2,0,2,0,1,0,0,3,1,0,0,0,2,1,0,1,0,0,2,1,0,1,1,1,0,0,2,1,2,1,2,2,3,3,0,0,1,0,1,2,1,1,0,0,0,2,1,2,2,0
917097:0,0,1,1,1,1,2,3,0,1,1,0,2,0,1,1,1,0,0,0,1,1,1,1,3,1,4,1,0,1,0,1,0,1,4,4,1,1,2,3,2,1,0,0,0,1,2,0,0,2,3,3,1,3,0,1,0,2,0,0,1,2,0,0,0
